original_text,simplified_text,target_level,predicted_level
Дела Степана Аркадьича находились в сложном положении. ,Дела Степана находились в сложном положении.,B1,B1
– Я рад тебе помочь.,"Я рад, что ты помогаешь.",A1,A2
"Викарий Дьюли – был, конечно, тот самый Дьюли, гордость Джесмонда и автор книги «Завет Принудительного Спасения».","Дьюли, гордость Джесмонда и автор книги «Завет Принудительного Спасения».",B2,C1
"Генералу очень понравилось, вот он теперь и вспомнил.",Генералу понравилось.,A2,B2
Очень скоро в мешок попался дикий кролик.,Кролик попал в мешок.,A2,A2
"Сядьте здесь, Настенька, — сказал я и посадил её на скамейку","Сядьте здесь, Настенька.",C2,B1
Можно гулять в лесу и думать о жизни.,Можно гулять в лесу и думать о жизни.,B2,A1
Что ему тут было с солдатней сидеть...,Что ему было с солдатами сидеть...,C2,B2
"Лебедев явился с чрезвычайною поспешностью, «за честь почитая», как он тотчас же и начал при входе; как бы и тени не было того, что он три дня точно прятался и видимо избегал встречи с князем.","Лебедев пришел с большой скоростью, «за честь почитая», как он сразу же начал при входе; как бы и тени не было того, что он три дня точно скрывался и видимо избегал встречи с князем.",A1,B2
"– сейчас слепые пальцы коснутся ее плеча, она проснется.","Сейчас слепые пальцы коснутся ее плеча, она проснется.",A2,C1
"От толчка он проснулся, чихнул и живо встал.","Он проснулся от толчка, чихнул и вскочил.",B2,A2
"Но что делать, если я такая неорганизованная?!","Что делать, если я такая неорганизованная?",B2,A1
"-- Берите двадцать, пока не поздно, а то я могу раздумать.","Берите двадцать, пока не поздно.",C2,B1
"Князю пришло на ум, что Лебедев и действительно, может быть, жмется и кривляется потому только, что, предчувствуя его вопросы, не знает, как на них ответить, и выгадывает время.","Князю пришло на ум, что Лебедев, возможно, кривляется, потому что не знает, как на вопросы ответить.",A1,B2
"Менялись главные начальники, менялись директоры, мелькали начальники отделения, а начальник четвёртого отделения оставался тот же, и все его любили, потому что он был необходим и потому что он тщательно скрывал это; все отличали его и отдавали ему справедливость, потому что он старался совершенно стереть себя; он всё знал, всё помнил по делам канцелярии; у него справлялись, как в архиве, и он не лез вперёд; ему предлагали место начальника отделения — он остался верен четвёртому отделению; его хотели представить к кресту — он на два года отдалил от себя крест, прося заменить его годовым окладом жалованья, только потому, что начальник третьего отделения мог позавидовать ему. ","Главные начальники менялись, а начальник четвертого отделения оставался тот же, и все его любили, потому что он был необходим и потому что он скрывал это. Все отличали его и отдавали ему справедливость, потому что старался стереть себя. Он знал и помнил все дела канцелярии, работал как в архиве, не лез вперёд, и его хотели представить к кресту, но он отдал крест на два года, чтобы заменить годовой оклад жалованья, потому что начальник третьего отделения мог позавидовать ему.",C1,B1
Не лучше ли в Петербурге и даже на дому?,Не лучше ли в Петербурге?,A2,B1
"– Дайте мне немного воды, – попросил человек  – Заходи, во дворе есть вода  – А моя собака?","– Дайте мне немного воды, – попросил человек. – Заходи, во дворе есть вода. – А моя собака?",C2,A2
"Что бы они ни говорили со мной, как бы добры ко мне ни были, все-таки с ними мне всегда тяжело почему-то, и я ужасно рад, когда могу уйти поскорее к товарищам, а товарищи мои всегда были дети, но не потому, что я сам был ребенок, а потому что меня просто тянуло к детям.","Что бы они ни говорили со мной, как бы добры ко мне ни были, все-таки с ними мне всегда тяжело почему-то, и я ужасно рад, когда могу уйти поскорее к товарищам.",B2,B1
"Вот, Леонтьев, наши теперь задачи: у чужого моря, ты знаешь где, ― где концы история в воду прячет, ― зарываться глубже в песок горячий или шлепать ластами по воде.","Наша задача: у чужого моря, ты знаешь, где концы истории в воду прячутся, — зарываться глубже в песок или шлепать ластами по воде.",C1,B1
"Мне хочется что-то с себя стряхнуть – мешает: вероятно, все тот же неотвязный зрительный образ: облако на гладкой синей майолике.","Мне хочется что-то с себя снять – мешает: вероятно, все тот же неотвязный зрительный образ: облако на гладкой синей майолике.",B2,C1
"Сейчас как придем, подайте мне эти стихи Пушкина!","Сейчас как придем, подавайте мне эти стихи Пушкина!",B1,B1
"Когда же его брат и друг Макс начали рассказывать ему истории из его жизни, он всё равно ничего не мог вспомнить.","Когда его брат и друг Макс начали рассказывать ему истории из его жизни, он всё равно ничего не мог вспомнить.",C2,A1
Кембл старался занять Диди чем-нибудь интересным:,Кембл старался занять Диди чем-нибудь интересным.,C2,C1
"Комната начала выглядеть так, как будто ничего не произошло.","Комната выглядела так, как будто ничего не произошло.",C2,A1
"Вы с такою наивностью чего-то от меня ожидаете, вот именно теперь, в эту минуту, что мне даже совестно и стыдно пред вами, что у меня нет ничего, чтоб удовлетворить вас; но клянусь же вам, что решительно нет ничего, можете себе это представить!","Вы ожидаете чего-то от меня, вот именно теперь, в эту минуту, что мне даже стыдно пред вами, что у меня нет ничего, чтобы удовлетворить вас.",A2,B2
"Но дети верят им, потому что дети – доверчивые люди.","Дети верят им, потому что они доверчивы.",A2,A2
"А может быть, сестры Аглаи и намеренно в чем-нибудь проболтались, чтоб и самим что-нибудь узнать от Варвары Ардалионовны; могло быть, наконец, и то, что и они не хотели отказать себе в женском удовольствии немного подразнить подругу, хотя бы и детства: не могли же они не усмотреть во столько времени хоть маленького краешка ее намерений.","Может быть, сестры Аглаи и намеренно в чем-то проболтались, чтобы самим что-нибудь узнать от Варвары Ардалионовны, могло быть, наконец, и то, что они не хотели отказать себе в женском удовлетворении немного подразнить подругу, хотя бы и детства.",C1,B2
"Дарья Александровна почувствовала облегчение только тогда, когда Анна вошла к ней. ","Дарья Александровна почувствовала облегчение, когда Анна вошла.",A1,B1
"-- К хорошим людям,-- ответил Остап,-- в Москве их масса.",В Москве много хороших людей.,C2,B1
— сказала Эллочка сама себе. ,Эллочка сказала сама себе.,C1,C2
"-- Похоже на то, -- сказал Остап, -- что уже завтра мы сможем, при наличии доброй воли, купить этот паровозик.","Похоже на то, что завтра мы сможем купить этот паровозик, при наличии доброй воли.",C1,C2
— Это не так-с!,Это не так.,B1,A2
"У ног его сидел новый друг, абиссинский мальчик Васька.","У него сидел новый друг, абиссинский мальчик Васька.",B2,C2
"Хорошее время не с неба падает, а мы его делаем…","Хорошее время не приходит извне, а мы его создаем.",C2,B1
"— Ну да; да будьте, ради бога, будьте добры. ","— Ну да; да будьте, ради бога, будьте добры.",B1,B2
"Он чуял, что и три рубля вырвать у несчастной женщины будет трудно.","Он чувствовал, что вытащить три рубля у несчастной женщины будет сложно.",B1,C2
У меня трое детей.,У меня три ребенка.,C1,A1
Он не мог отвести от неё глаз.,Он не мог отвести взгляд от нее.,B1,A2
"Шепчет, на цыпочках прошла, платье обобрала около себя, чтобы не шумело, в руках несет, мне сама пальцем на лестнице грозит, — это она тебя всё пужалась.","Шепчет, на цыпочках прошла, платье обобрала около себя, чтобы не шумело, в руках несет, мне сама пальцем на лестнице грозит.",B1,B2
"Я давеча побоялся, а теперь разглядел.","Я сегодня испугался, а теперь осознал.",C2,B2
"Здесь никто почти не бывает, кроме нас.","Здесь никто почти не появляется, кроме нас.",B2,A2
"— Ну, поставь раз, как он говорит, — приказала мне бабушка, — посмотрим: может, и в самом деле выйдет. ","— Ну, поставь раз, как он говорит, — приказала бабушка, — посмотрим: может, и в самом деле выйдет.",A1,B1
"-- Да, мой старый друг, вы больны организационным бессилием и бледной немочью.","Да, мой старый друг, вы больны организационным бессилием и бледной немочью.",C2,C2
Недавно археологи откопали одну книгу 20-го века.,Археологи нашли книгу 20-го века.,B2,A1
-- Она чрезвычайно просила вас прийти.,"Она очень хотела, чтобы вы пришли.",C1,A2
"Теперь Гек был свободен не только физически, но и морально - его больше никто не связывал.","Теперь Гек был свободен не только физически, но и морально.",C1,A1
"Он имел именно тот ум, который нравится женщинам: ум приличия и наблюдения, беспечно насмешливый. ","Ум приличия и наблюдения, беспечно насмешливый.",A2,B2
"У меня руки-ноги дрожали, в голову ударило. ","Руки-ноги дрожали, в голову ударило.",B2,C1
"Вернувшись в город, Алексей чувствовал необычайный прилив сил и вдохновения.","Возвращаясь в город, Алексей ощущал невероятное вознаграждение сил и вдохновения.",B2,C1
"После короткой беседы Печорин снова отправился в путь, оставив Максима Максимыча в состоянии грусти и разочарования.","После короткой беседы Печорин отправился в путь, оставив Максима Максимыча в грусти и разочаровании.",B1,A1
Над головами у них хлопает по ветру белое знамя с вышитым золотым солнцем – и в лучах надпись: «Мы первые!,Над головами у них хлопает по ветру белое знамя с вышитым золотым солнцем.,B1,A2
Чёрт знает что такое! ,Что такое?,B2,B1
"Остап проанализировал положение, позорно назвал ""ферзя"" ""королевой"" и высокопарно поздравил брюнета с выигрышем.","Остап проанализировал положение, назвал ""ферзя"" ""королевой"" и поздравил брюнета с выигрышем.",A1,C2
"Не знаю, продолжать ли мне теперь, после истории с Варей.","Я не знаю, продолжать ли мне теперь, после истории с Варей.",A1,C1
"— Ну, это уж черт знает что такое, этак расстегиваться! — заорал Фердыщенко.",Фердыщенко заорал.,B1,B2
Подайте чтонибудь бывшему депутату Государственной думы.,Напишите что-нибудь бывшему депутату Государственной думы.,C2,A1
"Почуял Барыба, что и правда пить-то ведь хочется.","Почувствовал Барыба, что и правда хочется пить.",C1,C1
"И утром всегда чувствую себя нормально, без проблем.",И утром всегда чувствую себя нормально.,B1,A1
Я спал и опять проехал мою станцию метро!,Я спал и снова проехал мою станцию метро.,B1,A2
Сегодня она получит 25 писем от детей и внуков.,Сегодня она получит 25 писем.,C1,A1
"Тигр был уверен, что сможет добиться своего, если будет достаточно терпелив.","Тигр был уверен, что сможет добиться своего, если будет терпелив.",A2,A2
"Люди думали, что Бог очень любит таких людей, потому что у них чистое доброе сердце и они не заботятся о своей жизни на земле, не хотят стать богатыми, известными.","Люди думали, что Бог любит их, потому что они чистые, добрые и не заботятся о своей жизни на земле, не хотят стать богатыми, известными.",B1,A2
"Приказание ему Аглаи сидеть дома теперь почти объяснялось: может быть, она хотела за ним зайти.","Приказание ему Аглаи сидеть дома теперь почти объяснялось: может быть, она хотела за ним зайти.",B2,B2
Появлению Остапа Бендера в редакции предшествовал ряд немаловажных событий.,Появлению Остапа Бендера предшествовал ряд важных событий.,A2,C2
Судя по кольцу это ручная сорока или что-то около того.,"Судя по кольцу, это ручная сорока.",A2,A2
В воскресенье они решили встретиться в кафе в 4 часа.,В воскресенье они встретились в кафе в 4 часа.,A1,A1
"И опять весь Кембл собирался на нескольких квадратных дюймах руки и слышал, издали откуда-то: мерными толчками колыхалась кровь и рвалась наружу, минута еще…","И опять весь Кембл собирался на нескольких квадратных дюймах руки и слышал, издали откуда-то: мерно колыхалась кровь и рвалась наружу.",A2,C1
"Надеюсь, вы никому не покажете этой записки. ","Я надеюсь, что вы не раскроете эту записку кому-либо.",C2,B2
Приходилось терпеть и ждать. ,Приходилось терпеть и ждать.,C1,C2
"– Да, как же, братцы?","– Да, как же, братья?",B1,C1
"И что, только рис?","И что, только рис?",B1,C2
"˗ Ну да, с дедушкой.","Ну да, с дедушкой.",A2,C1
"Они пойдут за мной на край света, заикаясь от любви.",Они пойдут за мной на край света.,A2,B1
"Ну, и выскочил я однажды ночью в одном белье прямо на снег: простуды я не боялся -- дело минутное.",Я выскочил однажды ночью в одном белье прямо на снег.,C2,A1
"— Вот видите, — хладнокровно заметил Ипполит, — вы уж и не удержались.","— Вот видите, — хладнокровно заметил Ипполит, — вы уж и не удержались.",B2,B2
"— Не пугайтесь, ради бога, не пугайтесь! ",Не пугайтесь!,B1,B2
"Хотя она вчера и сказала мужу, что ей дела нет до того, приедет или не приедет его сестра, она всё приготовила к её приезду и с волнением ждала родственницу. ",Она всё приготовила к его приезду и ждала родственницу.,C1,A2
"И если посылкой было то, что я противозаконно дал ей ребенка…","И если посылкой было то, что я дал ей ребенка…",A2,C1
Не знаю если бы я сейчас принимал решение учиться если бы я был несколько моложе пошёл бы я на юрфак или на какой-то другой факультет.,"Я не знаю, если бы я сейчас учился, если бы я был моложе, то пошел бы я на юрфак или на какой-нибудь другой факультет.",B1,A2
"Их души оставались в телах, даже когда наступала смерть.","Души их оставались в телах, когда наступала смерть.",A2,A2
"И может быть, на мой закат печальный: #c_187","И может быть, на мой закат печальный.",A2,C1
"Викарий шел как полководец, он вел беловоротничковую армию ко спасению математически верным путем.","Викарий шел, как полководец, ведя беловоротничковую армию к спасению математически верным путем.",A1,C2
В поисках пожарной опасности инспектор попал в кухню.,В поисках опасности инспектор попал в кухню.,C2,C2
"Брат был самый близкий ему по душе человек, но он служил по министерству иностранных дел, жил всегда за границей, где он и умер скоро после женитьбы Алексея Александровича. ","Брат был самым близким ему человеком, но он работал в министерстве иностранных дел и жил за границей, где и умер после женитьбы Алексея Александровича.",B2,B1
"Днём сплю, вечером сплю и ночью… тоже сплю. ","Днём сплю, вечером сплю и ночью тоже сплю.",B1,A1
"Джон сидел в кресле и удивлялся, почему я всё так медленно делаю.","Джон сидел в кресле и удивлялся, почему я всё так медленно делаю.",B2,A2
Двадцать человек набралось за пять минут.,Двадцать человек собрались за пять минут.,C2,B1
"— ответил князь, — и я уверен, что судьба её не из обыкновенных. ","Я уверен, что судьба ее не обычная.",B2,A2
Из ложи справа в темноте что-то на него блеснуло.,В темноте что-то на него блеснуло.,C2,C2
Дом был окружен полями и лесами.,Дом окружен полями и лесами.,A1,A1
"После этой беседы её страхи не исчезли, но появились уважение и желание научиться жить по-другому.","После этой беседы её страхи не исчезли, но появились уважение и желание научиться жить по-другому.",B2,A1
Через несколько минут после ухода Кити Левина тоже позвали к ней в детскую. ,Через несколько минут после ухода Кити Левина позвали к ней в детскую.,C2,B1
Опять ее старая песня: ребенок.,Ребенок.,C1,C1
Так прошла первая ночь.,Так прошла первая ночь.,A2,A2
ГПУ к вам само придет.,ГПУ придет к вам.,C1,B1
Визит оказывался чрезвычайно странный.,Визит был непривычным.,A2,C2
"Однажды он нашёл приют у доброго фермера, который подобрал его и принёс в дом.","Он нашел приют у доброго фермера, который подобрал его и принес в дом.",B2,A1
Новый фрукт стал началом её маленького кулинарного путешествия и хорошим настроением в доме.,Новый фрукт стал началом ее маленького кулинарного путешествия и хорошим настроением в доме.,C2,C1
Через час Саше позвонила Марина.,Через час Марина позвонила Саше.,C1,A1
"Мне говорили, ха-ха!",Мне говорили.,C2,B2
"Еще чрез два дня умирает камер-паж Наполеона, барон де Базанкур: #c_165, не вынесший похода.","Через два дня умер камер-паж Наполеона, барон де Базанкур.",B1,B1
Вдова была лишена фантазии.,Вдова не имела фантазии.,C1,C2
"Князь немедленно хотел поворотить назад к себе, в гостиницу; даже повернулся и потел; но чрез минуту остановился, обдумал и воротился опять по прежней дороге.","Князь хотел повернуть назад к себе, в гостиницу, но через минуту остановился, обдумал и воротился опять по прежней дороге.",B2,B2
Надо взять сына и уехать. ,Нужно забрать сына и уехать.,A1,A1
"Кити смотрела на всех такими же отсутствующими глазами, как и Левин. ","Кити смотрела на всех такими же отсутствующими глазами, как и Левин.",A2,B1
"Вот тут под лесенкой, видите, дверь.","Под лесенкой, видите, дверь.",B2,C2
День её рождения стал уникальным событием.,Этот день был особенным.,C1,A1
"Ее густые, пригнутые вниз тяжестью каких-то цветов ресницы.",Ее ресницы были густыми и пригнутыми вниз.,A1,C1
приход железной дороги в центральную якутию.,Железная дорога пришла в центральную Якутию.,C2,C2
"Попытка следовать точным указаниям ушла на второй план, уступая место творчеству и интуиции.","Попытка следовать точным указаниям ушла на второй план, уступая место творчеству и интуиции.",C1,C2
"Это были вы, вы!","Это были вы, вы!",A2,B2
"Зачем эта суета, почему и зачем я всё время спешу?",Зачем я всё время спешу?,A1,A2
У меня командировка на три года.,У меня командировка на три года.,C1,A1
"Вы, наверное, знаете, кто такой медведь?",Кто такой медведь?,C1,A2
"Крошечная какая-то дырочка вверху – пролез один хитрый, прищуренный лучик и отрезал кусок косы у Польки с тряпичной лентой, пальцы, грязную щеку.","Крошечная дырочка вверху пролез один хитрый лучик и отрезал кусок косы у Польки с тряпичной лентой, грязную щеку.",C1,C1
— Из трех то есть; но кто же?,"— Из трех, но кто же?",B1,B1
"«Поэма» Достоевского развивает близкую тему: в душе Ивана Антоновича (как и в душе героев многих других произведений писателя) борются стремление к самоутверждению, к власти над миром и сознание необходимости для этого приобщиться ко злу и несправеливости.","«Поэма» Достоевского развивает близкую тему: в душе Ивана Антоновича (как и в душе героев многих других произведений писателя) борются стремление к самоутверждению, к власти над миром и сознание необходимости для этого приобщиться ко злу и несправеливости.",A2,B2
"— Да, да, — смеялись другие.","— Да, — смеялись другие.",B1,B1
"Определите, что провоцирует ненависть к себе.",Что вызывает ненависть к себе?,B1,A2
Рабочие снуют там и сям.,Работники перемещаются по всему месту.,C2,C2
-- Слово для доклада предоставляется товарищу Гаврилину!-- крикнул Гаврилин.,-- Слово для доклада предоставляется Гаврилину!-- крикнул Гаврилин.,C2,C2
И ни одна из них не была с ним счастлива. ,Никто из них не был с ним счастлив.,A2,A2
"Тогда пешеход остановился, иронически посмотрел на мальчика и тихо сказал:","Тогда пешеход остановился, иронически посмотрел на мальчика.",C1,A2
"Я его не знаю, я не люблю его больше, я его по...за...буду...","Я его не знаю, я не люблю его больше, я его по...за...буду...",C1,B1
"Марина сказала ещё, что на машине приехать не может, потому что её муж поехал на машине в аэропорт встречать друга.","Марина сказала, что на машине приехать не может, потому что ее муж поехал на машине в аэропорт встречать друга.",C1,A1
Неожиданное предложение долгое время не рождало спроса.,Неожиданное предложение долгое время не вызывало интереса.,A2,C2
Но молчала великая страна.,Молчала великая страна.,B2,B1
Анна была хозяйкой только по ведению разговора. ,Анна была хозяйкой.,B1,B1
"У него были две жизни: одна, которую видели и знали все, кому это нужно было, полная обмана, очень похожая на жизнь его знакомых и друзей, и другая — тайная. ","У него были две жизни: одна, которую видели и знали все, кому это нужно было, полная обмана, очень похожая на жизнь его знакомых и друзей, и другая — тайная.",C1,B1
"Несмотря на ощутительную разницу в вывесках и величине оборотного капитала, оба эти разнородные предприятия занимались одним и тем же делом: спекулировали мануфактурой всех видов-грубошерстной, тонкошерстной, хлопчатобумажной, а если попадался шелк хороших цветов и рисунков, то и шелком.","Несмотря на разницу в вывесках и оборотном капитале, оба предприятия занимались одним и тем же делом: спекулировали мануфактурой всех видов - грубой, тонкой, хлопчатобумажной, а если попадался шелк хорошего цвета и рисунка, то и шелком.",C1,C2
"Я сначала не понимала и смеялась, а теперь люблю «рыцаря бедного», а главное, уважаю его подвиги","Я сначала не понимала и смеялась, а теперь люблю «рыцаря бедного», а главное, уважаю его подвиги",C1,B1
"К сожалению, я редко вижусь с отцом и матерью, но я часто разговариваю с ними по телефону.","Я мало встречусь с отцом и матерью, но часто разговариваю с ними по телефону.",C1,A1
На её странице он увидел фотографии молодой девушки с милой улыбкой и голубыми глазами.,На её странице он увидел фотографию молодой девушки с милой улыбкой и голубыми глазами.,C1,A1
Зачем не уговорили хоть подождать попутчика? ,Зачем не уговорили его подождать попутчика?,B2,A2
"Легитимистка — сторонница легитимной, т.","Легитимистка — сторонница легитимной, т.",B1,B2
Вы тот же великодушный рыцарь.,Ты тот же благородный рыцарь.,A1,B1
"Алексей, опытный программист, работал над проектом, который должен был стать прорывом в области безопасности данных.","Алексей, опытный программист, работал над проектом, который должен был стать прорывом в области безопасности данных.",C2,C1
"Тогда он понял, что ошибся.","Он понял, что ошибся.",A2,B1
— Во сколько у тебя соберутся гости?,Когда соберутся гости?,A1,A2
"Мужчина положил на стол ключи от новой Ferrari, припаркованной на улице перед входом в банк.",Мужчина положил на стол ключи от новой Ferrari.,C2,A2
долина чуи на пути к мажойскому каскаду .,Долина Чуи на пути к Мажойскому каскаду.,A2,A2
"Пост-скриптум: Относя письмо в почтовый ящик, у меня украли в номерах ""Стоимость"" пальто брата твоего, булочника.","После отправки письма в почтовый ящик, брата твоего, булочника, украли его пальто.",A1,A2
"IV  Все три девицы Епанчины были барышни здоровые, цветущие, рослые, с удивительными плечами, с мощною грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать.","Все три девицы Епанчины были здоровыми, цветущими, рослыми, с удивительными плечами, с мощной грудью, с сильными, почти как у мужчин, руками, и любили иногда хорошо покушать.",B1,B1
"— Я накопила их, продавая кукол…","Я купил их, продавая кукол.",B1,A1
Потом сказала сыну: «Завтра ты тоже пойдёшь в поле».,«Завтра ты тоже пойдёшь в поле».,B2,A2
"И где, интересно, мои очки?","И где, интересно, мои очки?",C2,A2
"Он всегда смотрит в пол, говорит мягким голосом, никогда не спорит.","Он всегда смотрит в пол, говорит мягко, никогда не спорит.",B1,A2
Варя ничего не видела и не слышала. ,Варя ничего не видела и не слышала.,A1,B1
"0ез всякого сомнения, он не дочитал вам до этого места.",Он не дочитал до этого места.,B2,B1
Потом он измерил другую стену и опять сказал: «Так...» Потом он постучал по стене и сказал «Так...» И так он повторял это слово много раз.,Потом он измерил другую стену и снова произнес: «Так...» Потом он постучал по стене и повторил: «Так...»,A1,B1
